"Continent","Android","Win7","Unknown","Nokia Unknown","WinXP","Series 40","Win8.1","Win10","Samsung","iOS","Windows Phone","Win8","OS X","WinVista","Chrome OS","BlackBerry OS","SymbianOS","Linux","Win98","LG","Firefox OS","Sony Ericsson","Win2003","Playstation"
Venezuela ,16.71,40.41,3.98,0,10.64,0,4.58,8.26,0,2.51,0,2.17,2.54,1.11,0,1.58,0,3.37,0,0,0,0,0,0
Singapore ,25.71,19.14,2.24,0,1.46,0,5.87,11.07,0,22.14,0,1.11,9.33,0,0,0,0,0,0,0,0,0,0,0
Iraq ,49.39,23.35,1.35,0,0,0,2.36,3.02,0,17.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,8.59,47.59,1.33,0,10.83,0,7.12,10.74,0,3.42,0,2.55,3.8,0,0,0,0,1.73,0,0,0,0,0,0
Sweden ,14.48,21.39,0,0,1.3,0,6.28,15.4,0,24.25,0,0,11.38,1.17,0,0,0,1.25,0,0,0,0,0,0
Algeria ,23.01,45.56,3.17,0,10.78,0,5.35,4.25,0,1.97,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,20.65,41.35,2.49,0,10.8,0,7.11,8.6,0,3.51,0,1.07,1.27,0,0,0,0,1.28,0,0,0,0,0,0
Belgium ,12.7,26.12,0,0,1.52,0,9.52,18.1,0,15.04,0,1.28,10.45,2.07,0,0,0,0,0,0,0,0,0,0
Portugal ,9.52,29.17,1.57,0,3.4,0,11.33,25.67,0,4.78,0,1.98,7.26,2.92,0,0,0,1.16,0,0,0,0,0,0
Oman ,75.77,9.55,0,0,0,0,2.28,2.69,0,4.26,0,0,1.22,0,0,0,1.31,0,0,0,0,0,0,0
Iran ,34.56,33.12,3,0,9.1,0,6.94,4.48,0,3.67,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,67.77,3.71,14.03,1.21,0,3.52,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0
Morocco ,31.88,30.35,2.2,0,12.92,1.41,3.56,4.73,0,3.85,0,1.5,3.07,0,0,0,0,0,0,0,0,0,0,0
Chile ,25.17,26.76,3.77,0,3.35,0,10.21,11.03,0,7.44,0,2.38,7.75,0,0,0,0,0,0,0,0,0,0,0
Croatia ,18.98,39.58,1.48,0,5.69,0,8.86,12.85,0,5.42,1.26,1.11,1.91,0,0,0,0,1.56,0,0,0,0,0,0
Czech Republic ,8.91,41.04,1.23,0,6.1,0,9.81,18.23,0,3.4,0,2.15,3.81,2.03,0,0,0,2.23,0,0,0,0,0,0
Israel ,18.64,33.42,0,0,3.73,0,7.19,14.68,0,9.79,0,1.6,5.01,0,0,3.35,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,14.82,46.04,1.29,0,12.62,0,6.8,9.97,0,2.5,0,1.16,1.41,0,0,0,0,1.44,0,0,0,0,0,0
Hong Kong ,19.5,29.01,1.91,0,3.47,0,5.12,10.39,0,15.05,0,1.17,11.83,0,0,0,0,1.22,0,0,0,0,0,0
Austria ,16.53,27.95,1.12,0,2.08,0,8.98,15.8,0,12.13,0,1.47,9.65,1.48,0,0,0,1.54,0,0,0,0,0,0
Qatar ,48.12,18.19,4.77,0,1.13,0,4.4,6.21,0,10.16,0,1.16,2.87,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,21.61,42.02,2.22,1.38,8.7,1.86,5.39,5.3,0,3.37,1.15,1.78,2.59,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,58.64,8.23,6.4,2.99,0,8.7,1.59,1.24,0,1.3,1.92,0,0,0,0,1.24,1.77,2.64,0,0,0,0,0,0
Congo (Democratic Republic of the),79.41,1.19,7.02,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,6.62,0,0,0,0,0,0
Norway ,10.65,26.02,0,0,0,0,7.56,18.15,0,18.83,0,1.18,12.12,0,0,0,0,1,1.33,0,0,0,0,0
Finland ,21.41,21.86,1.7,0,0,0,7.03,13.87,0,18.34,3.56,0,7.22,1.25,0,0,0,1.52,0,0,0,0,0,0
Ecuador ,19.39,30.11,1.96,0,3.21,0,12.05,10.22,0,4.19,1.26,5.22,8.71,0,0,0,0,1.13,0,0,0,0,0,0
Kuwait ,44.68,13.69,4.75,0,1.66,0,3.41,4.7,0,19.27,0,1,3.63,0,0,0,0,0,0,0,0,0,0,0
Albania ,31.94,27.61,2.25,0,9.75,1.15,2.94,4.61,0,13.46,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,8.65,21.07,0,0,0,0,7.66,20.46,0,23.54,0,1.19,12.83,1.12,0,0,0,0,0,0,0,0,0,0
Ireland ,21.71,18.87,1.28,0,1.7,0,7.11,13.55,0,21.89,0,1,7.91,1.55,0,0,0,1.24,0,0,0,0,0,0
Nepal ,33.36,24.27,2.75,1.55,2.48,3.59,11.46,8.07,0,3.39,0,4.16,1.06,0,0,0,0,1.38,0,0,0,0,0,0
Myanmar ,76.02,8.75,3.88,0,0,0,2.12,1.07,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,52.97,10.71,5.34,1.49,1.71,3.77,4.13,5.28,0,3.04,3.21,2.3,1.64,0,0,0,0,2.59,0,0,0,0,0,0
New Zealand ,15.29,19.24,2.34,0,1.59,0,7.5,15.87,0,22.08,0,0,11.35,1.17,0,0,0,0,0,0,0,0,0,0
Georgia ,14.57,52.6,0,0,5.75,0,10.5,5.62,0,4.55,0,1.99,1.23,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,51.08,8.14,12.9,3.22,1.55,10.93,1.58,1.48,0,1.45,0,1.22,0,0,0,0,1.57,2.89,0,0,0,0,0,0
Slovakia (Slovak Republic) ,15.04,35.82,1.42,0,6.21,0,11.06,15.65,0,4.35,0,1.94,3.9,1.71,0,0,0,1.7,0,0,0,0,0,0
Jordan ,42.18,26.75,1.45,0,2.79,0,3.49,7,0,8.72,1.32,1.1,3.29,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,35.9,31.95,1.94,0,4.32,1.79,4.27,3.18,0,9.52,0,2.22,1.25,0,0,0,0,0,0,0,0,0,0,0
Sudan ,62.62,8.78,2.1,5.42,1.57,8.56,1.51,1.47,0,1.76,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0
Lithuania ,10.25,37.7,0,0,15.89,0,9.2,14.37,0,3,0,1.75,3.68,0,0,0,0,1.45,0,0,0,0,0,0
Zambia ,53.84,5,13.98,4.15,0,5.59,1.57,1.71,1.31,1.29,2.94,1.05,0,0,0,1.96,1.23,2.35,0,0,0,0,0,0
Zimbabwe ,56.05,11.95,3.38,1.92,1.03,5.8,3.2,2.7,0,1.2,3.07,1.97,0,0,0,1.08,1.94,3.48,0,0,0,0,0,0
Belarus ,15.28,45.13,2.74,0,11.14,0,7.34,7.36,0,3.71,0,1.99,2.57,0,0,0,0,1.06,0,0,0,0,0,0
Macedonia ,21.32,41.3,1.99,0,9.54,0,6.75,9.1,0,4.96,0,1.02,0,0,0,0,0,1.6,0,0,0,0,0,0
Guatemala ,33.2,22.51,4.68,0,3.86,0,7.01,8.62,0,5.49,0,2.98,8.49,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,14.39,36.94,0,0,5.47,0,9.85,17.94,0,5.21,0,1.43,4.51,1.15,0,0,0,1.33,0,0,0,0,0,0
Dominican Republic ,25.94,27.19,2.59,0,7.42,0,6.58,9.9,0,7.49,0,3.73,6.22,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,38.65,28.25,3.94,0,5.56,0,5.79,4.38,0,3.05,0,2.75,4.15,0,0,0,0,1.37,0,0,0,0,0,0
Costa Rica ,30.83,18.51,2.29,0,2.28,0,7.43,10.81,0,9.35,1.15,1.97,11.43,0,0,0,0,1.3,0,0,0,0,0,0
Kazakhstan ,23.15,37.58,1.99,0,5.65,0,7.73,6.77,0,8.6,0,2.9,2.02,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,43.03,21.33,3.53,0,2.12,0,4.14,5.69,0,11,0,1.13,5,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,42.11,24.34,3.15,1.11,3.14,3.56,4.94,5.61,0,3.39,1.74,2.11,2.09,0,0,0,0,1.39,0,0,0,0,0,0
Puerto Rico ,32.52,14.33,3.88,0,1.3,0,5.87,12.96,0,16.91,0,1.4,7.1,1.02,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,52.72,11.99,6.81,0,6.7,0,3.84,3.08,0,1.25,1.51,1.94,2.29,0,0,0,0,2.47,0,1.8,1.17,0,0,0
Uruguay ,20.1,30.2,3.45,0,5.89,0,7.85,9.69,0,4.16,3.14,2.5,3.64,0,0,0,0,7.43,0,0,0,0,0,0
Lebanon ,39,21.24,1.11,0,1.61,0,5.1,5.16,0,15.82,0,1.2,8.07,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,27.41,38.75,0,0,6.21,0,7.42,8.34,0,4.51,0,2.94,2.19,0,0,0,0,0,0,0,0,0,0,0
Moldova ,12.55,49.81,1.69,0,7.76,0,8.51,8.82,0,3.37,0,2.01,2.51,0,0,0,0,1.13,0,0,0,0,0,0
El Salvador ,32.14,24.18,5.16,0,3.32,0,8.08,9.48,0,4.14,0,3,6.32,0,0,0,0,1.44,0,0,0,0,0,0
Panama ,31.96,21.77,2.21,0,1.88,0,7.29,10.85,0,6.85,0,1.75,11.69,0,0,0,0,2.41,0,0,0,0,0,0
Namibia ,64.72,8.03,3.54,2.63,0,3.21,3.12,3.42,0,2.28,1.87,1.09,1.2,0,0,0,0,1.85,0,0,0,0,0,0
Uganda ,41.16,13.26,19.63,3.16,2.26,5.57,2.75,2.32,0,1.3,1.69,1.71,1.05,0,0,0,0,2.15,0,0,0,0,0,0
Syrian Arab Republic ,56.67,17.87,2.52,1.75,2.88,3.85,3.26,2.56,0,3.11,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0
Latvia ,10.38,38.3,1.26,0,6.09,0,10.65,17.43,0,5.08,0,1.71,5.9,0,0,0,0,1.41,0,0,0,0,0,0
Armenia ,10.31,47.07,1.74,0,15.89,0,6.25,7.12,0,5.62,0,1.76,1.8,0,0,0,0,0,0,0,0,0,0,0
Senegal ,33.46,25.4,4.04,0,4.39,0,5.86,5.2,0,5.03,3.01,4.68,3.06,0,0,0,0,0,0,0,1.07,0,0,0
Brunei Darussalam ,56.27,9.74,3.16,0,1.02,0,4.73,4.81,0,10.84,0,1.07,4.41,0,0,0,0,1.64,0,0,0,0,0,0
Honduras ,36.62,23.12,3.73,0,3.08,0,6.47,9.1,0,7.05,0,2.35,5.22,0,0,0,0,0,0,0,0,0,0,0
Estonia ,13.41,35.01,1.12,0,3.73,0,10.64,17.73,0,6.13,0,1.71,7.17,1.17,0,0,0,1.53,0,0,0,0,0,0
Cyprus ,20.1,30.24,2.26,0,5.7,0,7.74,13.84,0,11.39,0,1.19,4.64,1.22,0,0,0,0,0,0,0,0,0,0
Yemen ,51.32,18.24,8.45,1.97,6.68,0,2.11,1.45,0,5.82,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,50.03,22.67,1.28,1.54,1.49,3.5,3.27,3.05,0,6.03,0,2.77,0,0,0,0,2.24,0,0,0,0,0,0,0
Montenegro ,26.04,40.46,2.38,0,8.03,0,5.53,6.26,0,6.11,0,1.02,1.22,0,0,0,0,1.24,0,0,0,0,0,0
Cambodia ,29.39,20.2,1.68,2.38,2.92,2.43,5.71,4.73,0,23.66,0,1.54,3.35,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,40.6,10.56,21.41,2.06,6.03,1.93,2.82,2.14,0,1.42,1.5,1.94,1.03,0,0,0,0,2.94,0,0,0,0,0,0
Malawi ,54.32,4.44,9.3,3.44,0,9.16,1.38,0,0,0,4.82,0,0,0,0,3.08,2.39,3.13,0,0,0,0,0,0
Madagascar ,27.88,11.96,36.29,1.58,4.28,2.34,2.18,1.81,1.1,0,0,0,1.15,0,0,0,1.17,1.86,0,0,0,1.59,0,0
Mali ,40.79,2.75,37.65,4.78,1.17,0,0,0,1.41,0,0,0,0,0,0,0,0,4.09,0,2.21,0,0,0,0
Mauritius ,32.99,23.89,3,1.14,1.84,1.51,9.23,10.85,0,4.44,1.14,2.3,4.16,0,0,0,0,1.12,0,0,0,0,0,0
Jamaica ,28.39,21.14,5.53,0,2.29,0,8.32,16.22,0,6.17,0,2.34,4.37,0,0,0,0,0,0,0,0,0,0,0
Angola ,51.6,15.33,4.81,1.28,0,1.34,4,5.15,0,5.94,0,2.15,3.53,0,0,0,0,1.18,0,0,0,0,0,0
Nicaragua ,28.22,29.18,3.99,0,4.13,1.52,8.88,7.27,0,4.61,1.77,3.4,3.61,0,0,0,0,1.14,0,0,0,0,0,0
